file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,SEQ share,XOR share,PAR share,LOOP share,AS-Resolved PAR-only
pdc2021_110111.xes,0.8,0.8596815274080785,0.7519201228878648,0.00,0.00,0.00,0.00,95.83,94.40,97.53,10.53,41.67,100.00,0.3582089552238806,0.3283582089552239,0.05970149253731343,0.2537313432835821,0.00
pdc2021_110111.xes,1.0,0.80210608934698,0.45989505247376317,0.00,0.00,0.00,0.00,97.55,94.49,94.49,32.39,32.39,100.00,0.2777777777777778,0.4444444444444444,0.0,0.2777777777777778,0.00
pdc2021_111011.xes,0.0,1.0,0.09205555713352453,0.00,73.60,0.00,73.60,88.98,100.00,98.49,4.29,54.58,100.00,0.2672413793103448,0.5,0.07758620689655173,0.15517241379310345,0.00
pdc2021_111011.xes,0.2,0.9739339221265292,0.21381963046912567,0.00,0.00,0.00,0.00,95.15,98.59,99.67,6.12,32.82,99.77,0.27927927927927926,0.43243243243243246,0.08108108108108109,0.2072072072072072,0.00
pdc2021_111011.xes,0.4,0.9424850582715479,0.46938164395867643,0.00,0.00,0.00,0.00,96.79,85.19,89.65,9.85,37.04,98.93,0.3076923076923077,0.375,0.057692307692307696,0.25961538461538464,0.00
pdc2021_111011.xes,0.6,0.9238462388276417,0.5042839657282742,0.00,0.00,0.00,0.00,97.72,85.36,87.89,9.85,20.68,97.88,0.3595505617977528,0.38202247191011235,0.033707865168539325,0.2247191011235955,0.00
pdc2021_111011.xes,0.8,0.8203538858729644,0.448475004511821,0.00,0.00,0.00,0.00,96.47,92.32,96.14,8.72,31.73,93.21,0.36363636363636365,0.2597402597402597,0.1038961038961039,0.2727272727272727,0.00
pdc2021_111011.xes,1.0,0.8450798926937944,0.13166238864562885,0.00,0.00,0.00,0.00,100.00,100.00,100.00,33.07,33.07,100.00,0.15789473684210525,0.5263157894736842,0.0,0.3157894736842105,0.00
pdc2021_120001.xes,0.0,1.0,0.07138307476723516,0.00,73.60,0.00,73.60,90.13,100.00,98.84,4.27,58.15,100.00,0.2702702702702703,0.5045045045045045,0.07207207207207207,0.15315315315315314,0.00
pdc2021_120001.xes,0.2,0.9861828492004301,0.08313227513227517,0.00,73.60,0.00,73.60,90.04,100.00,100.00,4.27,44.20,100.00,0.2549019607843137,0.4411764705882353,0.09803921568627451,0.20588235294117646,0.00
pdc2021_120001.xes,0.4,0.9218858223147723,0.43841264387562273,0.00,0.00,0.00,0.00,96.12,78.46,89.59,10.78,35.20,99.14,0.2828282828282828,0.36363636363636365,0.10101010101010101,0.25252525252525254,0.00
pdc2021_120001.xes,0.6,0.8974682898776497,0.5348335388409371,0.00,0.00,0.00,0.00,94.52,76.23,82.64,17.03,26.40,97.23,0.3488372093023256,0.37209302325581395,0.046511627906976744,0.23255813953488372,0.00
pdc2021_120001.xes,0.8,0.7598128376594641,0.47913304127276923,0.00,73.60,0.00,73.60,90.83,100.00,100.00,4.30,47.66,100.00,0.3253012048192771,0.3253012048192771,0.0963855421686747,0.25301204819277107,0.00
pdc2021_120001.xes,1.0,0.848680991848403,0.16036308623298035,0.00,0.00,0.00,0.00,100.00,100.00,100.00,38.13,38.13,100.00,0.21428571428571427,0.5,0.0,0.2857142857142857,0.00
pdc2021_120101.xes,0.0,1.0,0.12338362644285694,3.60,54.40,0.00,50.80,94.85,100.00,100.00,7.75,26.41,100.00,0.25316455696202533,0.4810126582278481,0.0759493670886076,0.189873417721519,0.00
pdc2021_120101.xes,0.2,0.9675559009211168,0.21762898269448483,0.00,44.40,0.00,44.40,84.68,100.00,100.00,7.75,54.14,100.00,0.25882352941176473,0.3764705882352941,0.11764705882352941,0.24705882352941178,0.00
pdc2021_120101.xes,0.4,0.9345166316549227,0.31283575265744656,0.00,0.00,0.00,0.00,95.64,96.70,99.11,9.04,59.16,99.39,0.2857142857142857,0.3333333333333333,0.09523809523809523,0.2857142857142857,0.00
pdc2021_120101.xes,0.6,0.8626390569708939,0.7133401221995926,0.00,0.00,0.00,0.00,89.83,88.40,94.22,12.90,50.61,97.67,0.32,0.32,0.08,0.28,0.00
pdc2021_120101.xes,0.8,0.8293057326408202,0.7388919363686232,0.00,0.00,0.00,0.00,91.42,86.19,90.73,21.14,44.61,94.73,0.3561643835616438,0.3287671232876712,0.0547945205479452,0.2602739726027397,0.00
